"","Genus.Code","Species.Code","Cultivar.Code","Species.Latin"
"1","AB","ABBA","ABBA","Abies balsamea"
"2","AC","ACNE","ACNE","Acer negundo"
"3","AC","ACNI","ACNI","Acer nigrum 'Green Column'"
"4","AC","ACPL","ACPL","Acer platanoides"
"5","AC","ACSA","ACSA","Acer saccharinum"
"6","AC","ACSC","ACSC","Acer saccharum"
"7","AC","ACTA","ACTA","Acer tataricum"
"8","AC","ACFR","ACFR","Acer x freemanii 'Autumn Blaze'"
"9","AE","AEGL","AEGL","Aesculus glabra"
"10","AL","ALGL","ALGL","Alnus glutinosa"
"11","AM","AM","AM","Amelanchier"
"12","AM","AMCA","AMCA","Amelanchier canadensis"
"13","AM","AMGR","AMGR","Amelanchier x grandiflora"
"14","BE","BENI","BENI","Betula nigra 'Heritage'"
"15","CA","CRCO","CRCO","Carya cordiformis"
"16","CA","CTSP","CTSP","Catalpa speciosa"
"17","CE","CEOC","CEOC","Celtis occidentalis"
"18","CE","CDJA","CDJA","Cercidiphyllum japonicum"
"19","CR","CR","CR","Crataegus"
"20","CR","CGMO","CGMO","Crataegus x mordensis"
"21","FR","FRPE","FRPE","Fraxinus pennsylvanica"
"22","GI","GIBI","GIBI","Ginkgo biloba"
"23","GL","GLTR","GLTR","Gleditsia triacanthos"
"24","GY","GYDI","GYDI","Gymnocladus dioicus"
"25","JU","JUNI","JUNI","Juglans nigra"
"26","MA","MAPR","MAPR","Malus prunifolia 'Rinki'"
"27","MA","MARO","MARO","Malus x 'Royalty'"
"28","MA","MATH","MATH","Malus x 'Thunderchild'"
"29","OS","OSVI","OSVI","Ostrya virginiana"
"30","PI","PNNI","PNNI","Pinus nigra 'Austriaca'"
"31","PI","PNST","PNST","Pinus strobus"
"32","PO","POCA","POCA","Populus x canadensis"
"33","PY","PYCA","PYCA","Pyrus calleryana 'Glen's Form (Chantecleer)"
"34","QU","QUBI","QUBI","Quercus bicolor"
"35","QU","QUMA","QUMA","Quercus macrocarpa"
"36","QU","QURO","QURO","Quercus robur"
"37","QU","QURU","QURU","Quercus rubra"
"38","RO","ROPS","ROPS","Robinia pseudoacacia"
"39","SY","SYRE","SYRE","Syringa reticulata"
"40","TI","TIAM","TIAM","Tilia americana"
"41","TI","TICO","TICO","Tilia cordata"
"42","UL","UL","UL","Ulmus"
"43","UL","ULAM","ULAM","Ulmus americana"
"44","UL","ULDA","ULDA","Ulmus davidiana 'Discovery'"
"45","UL","ULPU","ULPU","Ulmus pumila"
"46","UL","ULCA","ULCA","Ulmus X 'Cathedral'"
"47","UL","ULHO","ULHO","Ulmus x 'Homestead'"
"48","UL","ULMG","ULMG","Ulmus x 'Morton Glossy' (Triumph TM)"
"49","UL","ULMO","ULMO","Ulmus x 'Morton' (Accolade TM)"
"50","UL","ULNH","ULNH","Ulmus x New Horizon"
"51","ZE","ZESE","ZESE","Zelkova serrata"
"52","AC","ACPA","ACPA","Acer palmatum"
"53","SY","SYVU","SYVU","Syringa vulgaris"
"54","TH","THOC","THOC","Thuja occidentalis"
"55","MA","MA","MA","Magnolia x "
"56","BE","BEPA","BEPA","Betula papyrifera"
"57","PI","PIAB","PIAB","Picea abies"
"58","SO","SOTH","SOTH","Sorbus_x_thuringiaca"
"59","RH","RHTY","RHTY","Rhus typhina"
"60","PR","PRVI","PRVI","Prunus virginiana"
"61","CU","CPCA","CPCA","Cupressus cashmeriana"
"62","CO","CTCO","CTCO","Cotinus coggygria"
"63","MO","MOAL","MOAL","Morus alba"
"64","TA","TACA","TACA","Taxus canadensis"
"65","RO","ROCA","ROCA","Rosa canina"
"66","PO","PODE","PODE","Populus deltoides"
"67","SO","SOAM","SOAM","Sorbus americana "
"68","PI","PIPU","PIPU","Picea pungens"
"69","SO","SOAU","SOAU","Sorbus aucuparia"
"70","MA","MASY","MASY","Malus sylvestris"
"71","AM","AMAR","AMAR","Amelanchier arborea"
"72","CA","CAAB","CAAB","Caragana arborescens"
"73","PR","PRCE","PRCE","Prunus cerasifera"
"74","UL","ULRU","ULRU","Ulmus rubra"
"75","SA","SACA","SACA","Sambucus canadensis"
"76","MO","MORU","MORU","Morus rubra"
"77","AE","AEHI","AEHI","Aesculus hippocastanum"
"78","SA","SAHU","SAHU","Salix humboldtiana"
"79","EU","EUAL","EUAL","Euonymus alatus"
"80","RH","RHAR","RHAR","Rhus aromatica"
"81","JU","JUVI","JUVI","Juniperus virginiana"
"82","PO","PONI","PONI","Populus Nigra"
"83","LO","LOPE","LOPE","Lonicera periclymenum"
"84","MA","MAIO","MAIO","Malus ioensis"
"85","MA","MGSO","MGSO","Magnolia × soulangeana"
"86","UL","ULMI","ULMI","Ulmus minor Mill."
"87","PR","PRAV","PRAV","Prunus avium "
"88","AM","AMSA","AMSA","Amelanchier sanguinea"
"89","BE","BEPO","BEPO","Betula populifolia"
"90","EU","EUEU","EUEU","Euonymus europaeus"
"91","SA","SAAL","SAAL","Salix alba"
"92","LI","LIVU","LIVU","Ligustrum vulgare"
"93","PI","PIMA","PIMA","Picea mariana"
"94","VI","VIAC","VIAC","Viburnum acerifolium"
"95","FR","FRPR","FRPR","Fraxinus profunda"
"96","PR","PRPE","PRPE","Prunus pensylvanica"
"97","AC","ACRU","ACRU","Acer rubrum"
"98","AR","ARSP","ARSP","Aralia Spinosa"
"99","JU","JUCI","JUCI","Juglans cinerea"
"100","HY","HYAR","HYAR","Hydrangea_arborescens"
"101","PI","PIGL","PIGL","Picea glauca"
"102","RH","RHCA","RHCA","Rhamnus cathartica"
"103","MA","MADA","MADA","Magnolia x 'Daybreak'"
"104","HY","HY","HY","Hydrangea x"
"105","AC","ACGI","ACGI","Acer ginnala"
"106","PI","PNRE","PNRE","Pinus resinosa"
"107","MA","MAST","MAST","Magnolia stellata"
"108","MA","MAKO","MAKO","Magnolia_kobus"
"109","TS","TSCA","TSCA","Tsuga caroliana "
"110","PR","PRCS","PRCS","Prunus cerasus"
"111","CO","COAL","COAL","Cornus alternifolia"
"112","SY","SYPU","SYPU","Syringa pubescens"
"113","PR","PRDO","PRDO","Prunus domestica"
"114","HE","HEMI","HEMI","Heptacodium miconioides"
"115","HY","HYPA","HYPA","Hydrangea_peniculata"
"116","PR","PR","PR","Prunus x "
"117","CR","CGPU","CGPU","Crataegus punctata"
"118","BR","BRPA","BRPA","Broussonetia papyrifera"
"119","PI","PIBA","PIBA","Pinus banksiana"
"120","PI","PIRU","PIRU","Picea rubens"
"121","LA","LADE","LADE","Larix decidua"
"122","PI","PNSY","PNSY","Pinus sylvestris"
"123","CE","CECA","CECA","Cercis canadensis"
"124","WE","WEFL","WEFL","Weigela x "
"125","UL","ULLA","ULLA","Ulmus laevis"
"126","FR","FRAM","FRAM","Fraxinus americana"
"127","CO","COSA","COSA","Cornus sanquinea"
"128","MA","MASS","MASS","Malus_x_'Spring_Snow'"
"129","LA","LALA","LALA","Larix laricina"
"130","BE","BEPE","BEPE","Betula pendula"
"131","EL","ELAN","ELAN","Elaeagnus angustifolia"
"132","SA","SADI","SADI","Salix discolor"
"133","FA","FAGR","FAGR","Fagus Grandifolia"
"134","RH","RHGL","RHGL","Rhus glabra"
