"","x"
"1","ULLA"
"2","FRAM"
"3","ACNE"
"4","CEOC"
"5","MOAL"
"6","RHCA"
"7","FRPE"
"8","PIMA"
"9","SYVU"
"10","PODE"
"11","QUMA"
"12","SOAM"
"13","PRVI"
"14","LOPE"
"15","RHGL"
"16","ULAM"
"17","BEPA"
"18","SYRE"
"19","EUAL"
"20","THOC"
"21","COSA"
"22","ULPU"
"23","ROPS"
"24","ACSA"
"25","AEHI"
"26","OSVI"
"27","AMCA"
"28","ACPL"
"29","TACA"
"30","TICO"
"31","PIPU"
"32","QURU"
"33","PNNI"
"34","ACSC"
"35","PIAB"
"36","PNST"
"37","PIGL"
"38","GLTR"
"39","ULRU"
"40","ACRU"
"41","TIAM"
"42","ACFR"
"43","ELAN"
"44","SADI"
"45","RHTY"
"46","FAGR"
"47","JUNI"
"48","PRCE"
"49","MASY"
"50","ACGI"
"51","GYDI"
"52","SACA"
"53","ABBA"
"54","MA"
"55","MAXX"
"56","ULXX"
"57","CTSP"
"58","LALA"
"59","BEPE"
"60","PR"
"61","ACPA"
"62","CG"
"63","PNRE"
"64","PNSY"
"65","ACNI"
"66","ZESE"
"67","CGMO"
"68","MAPR"
"69","AM"
"70","GIBI"
"71","POCA"
"72","QURO"
"73","FRPR"
"74","JUVI"
"75","CAAB"
"76","ARSP"
"77","PRAV"
"78","JUCI"
"79","HYAR"
"80","MAIO"
"81","HY"
"82","AMSA"
"83","ULMI"
"84","MGXX"
"85","ST"
"86","MAKO"
"87","TSCA"
"88","PRCR"
"89","EU"
"90","COAL"
"91","SYPU"
"92","PRDO"
"93","HEMI"
"94","HYPA"
"95","CTCO"
"96","SOAU"
"97","AMAR"
"98","CGPU"
"99","BRPA"
"100","PIBA"
"101","PIRU"
"102","LADE"
"103","BEPO"
"104","ALGL"
"105","CECA"
"106","WE"
"107","SOXX"
"108","CPCA"
"109","EUEU"
"110","ROCA"
"111","ACTA"
"112","MORU"
"113","SAHU"
"114","RHAR"
"115","LIVU"
"116","PONI"
"117","PRPE"
"118","SAAL"
"119","VIAC"
"120","AMGR"
"121","CRCO"
"122","BENI"
"123","QUBI"
"124","ULDA"
"125","ULHO"
"126","UL"
"127","PYCA"
"128","CDJA"
"129","AEGL"
