"","Alley","Inst","Institutional","Parc","Park","Private","Row","Street"
"ABBA",0,0,2,0,0,11,0,5
"ACFR",0,5,8,1,16,7,26,29
"ACRU",0,3,2,0,6,7,3,0
"ACSA",0,55,0,8,144,13,304,95
"ACSC",0,1,0,2,25,1,10,0
"AM",0,0,0,2,0,0,0,0
"AMAR",0,1,0,0,2,11,0,0
"AMCA",3,1,3,0,1,14,3,1
"AMGR",0,1,0,0,0,1,3,15
"AMLA",0,1,0,0,0,1,2,0
"AMSA",0,0,0,0,0,2,0,0
"BEAL",0,0,0,0,1,2,4,0
"BEPA",1,0,2,0,0,14,0,0
"BEPO",0,0,0,0,0,4,0,0
"CEOC",0,16,0,0,33,6,52,53
"CGPU",0,4,0,0,5,1,1,0
"CNRU",0,1,0,0,0,0,0,0
"COAL",0,0,0,0,0,1,0,0
"CRCA",0,0,0,0,1,0,8,0
"CRCO",0,0,0,0,0,0,0,10
"CYCO",0,0,0,0,0,2,0,0
"FAGR",0,0,1,0,0,1,0,0
"FRAM",1,4,0,0,9,3,7,0
"FRPE",2,8,81,0,35,23,113,23
"JNCO",0,3,0,0,0,3,1,0
"JNVI",0,10,0,0,0,1,0,0
"JUCI",0,0,0,0,4,1,2,0
"JUNI",0,1,1,0,16,1,3,1
"JUVI",0,0,0,0,0,13,0,0
"LALA",0,0,4,0,10,1,0,0
"OSVI",2,0,0,1,0,1,7,1
"PIBA",0,0,0,0,0,1,0,0
"PIGL",0,1,19,0,10,15,6,0
"PIMA",1,0,0,0,0,9,0,0
"PIRU",0,1,0,0,4,10,3,0
"PNRE",0,3,2,0,2,15,2,0
"PNST",0,1,4,0,2,5,1,1
"PODE",1,1,2,0,2,2,0,0
"PRNI",0,0,0,0,1,0,1,0
"PRSE",0,1,0,0,1,2,0,0
"PRVI",4,5,6,0,8,24,5,0
"QUAL",0,0,0,0,0,1,3,0
"QUBI",0,1,0,0,4,1,4,6
"QUMA",1,3,7,0,15,4,6,32
"QURU",0,2,17,2,5,3,56,1
"RHAR",0,0,0,0,0,2,0,0
"RHGL",1,0,0,0,0,0,0,0
"RHTY",0,0,2,0,0,2,0,0
"RUTY",0,1,0,0,9,3,0,0
"SACA",0,0,1,0,0,2,0,0
"SADI",0,0,1,0,0,1,0,0
"SOAM",1,0,0,0,0,2,0,0
"TACA",0,6,19,0,5,52,0,0
"THOC",6,138,42,0,113,484,12,0
"TIAM",0,6,0,11,26,5,10,6
"TSCA",0,0,0,0,0,2,0,0
"ULAM",7,19,2,1,9,38,2,25
"ULRU",0,0,2,0,0,13,0,0
"VIAC",0,0,0,0,0,1,0,0
"VILE",0,0,0,0,29,1,0,0
