"","A1","A10","A11","A12","A13","A2","A3","A4","A5","A6","A7","A8","A9"
"ACNE",3,1,5,0,3,3,1,2,0,1,1,2,3
"ACSA",0,0,0,0,0,0,0,0,0,0,1,0,0
"AEHI",0,0,0,0,0,0,0,0,0,0,2,0,0
"AMCA",0,0,0,0,0,0,0,0,0,0,0,0,3
"BEPA",0,0,0,0,0,1,0,0,0,0,0,0,0
"CEOC",0,3,8,0,0,0,0,0,0,0,0,0,0
"COSA",0,0,0,0,0,0,0,0,0,1,0,0,0
"EUAL",0,0,0,0,0,0,0,0,1,0,0,0,0
"FRAM",1,0,0,0,0,0,0,0,0,0,0,0,0
"FRPE",0,0,1,1,0,0,0,1,0,0,0,0,0
"LOPE",0,0,0,2,0,0,0,0,0,0,0,0,0
"MOAL",0,0,1,0,0,0,0,0,0,0,0,0,0
"OSVI",0,0,0,0,0,0,0,0,0,0,0,0,2
"PIMA",0,0,1,0,0,0,0,0,0,0,0,0,0
"PODE",0,0,0,1,0,0,0,0,0,0,0,0,0
"PRVI",0,0,0,4,0,0,0,0,0,0,0,0,0
"QUMA",0,0,0,1,0,0,0,0,0,0,0,0,0
"RHCA",0,0,1,0,0,0,0,0,0,0,0,0,0
"RHGL",0,0,0,0,1,0,0,0,0,0,0,0,0
"ROPS",0,0,0,0,0,0,0,0,0,0,2,2,0
"SOAM",0,0,0,1,0,0,0,0,0,0,0,0,0
"SYRE",0,0,0,0,0,0,0,0,1,0,0,0,0
"SYVU",0,0,1,0,0,0,0,0,0,0,0,0,0
"THOC",0,0,0,0,0,0,0,0,0,6,0,0,0
"ULAM",0,0,0,0,3,0,0,0,0,0,0,0,4
"ULLA",1,0,0,0,0,0,0,0,0,0,0,0,0
"ULPU",0,0,0,0,0,0,0,0,0,0,4,0,1
