"","Private","Public"
"ABBA",13,5
"ACFR",20,72
"ACGI",13,12
"ACMI",0,6
"ACNE",146,47
"ACNI",0,1
"ACPA",32,0
"ACPL",389,652
"ACRU",12,9
"ACSA",68,551
"ACSC",2,37
"ACTA",12,12
"AECA",0,2
"AEGL",0,5
"AEHI",18,6
"ALGL",5,5
"AM",0,2
"AMAR",12,2
"AMCA",18,8
"AMGR",2,18
"AMLA",2,2
"AMSA",2,0
"ARSP",5,0
"BBVU",0,5
"BEAL",2,5
"BENI",2,15
"BEPA",16,1
"BEPE",1,0
"BEPO",4,0
"BRPA",1,0
"CAAB",12,27
"CCCA",1,0
"CDJA",1,4
"CECA",2,0
"CEOC",22,138
"CGMO",0,4
"CGPU",5,6
"CHNO",2,0
"CHPI",1,0
"CNFL",2,0
"CNRU",1,0
"COAL",1,0
"COCO",0,9
"COSA",0,1
"CRCA",0,9
"CRCO",0,10
"CTCO",14,0
"CTSP",11,12
"CYCO",2,0
"CYGL",0,1
"ELAN",1,0
"EUAL",55,1
"EUAT",4,0
"EUEU",3,0
"FAGR",2,0
"FASY",1,3
"FRAM",7,17
"FRPE",112,173
"FRPR",2,0
"GIBI",6,52
"GLTR",96,278
"GYDI",15,116
"HEMI",1,0
"HYAR",1,0
"HYPA",4,2
"HYQU",1,0
"JNCO",6,1
"JNSC",2,0
"JNVI",11,0
"JUCI",1,6
"JUNI",3,20
"JURE",1,0
"JUVI",13,0
"LADE",1,4
"LAKA",0,2
"LALA",5,10
"LIAM",2,0
"LITU",1,4
"LIVU",2,0
"LOMA",1,0
"LOPE",7,2
"LOTA",1,0
"LOXY",23,2
"LQST",0,1
"LYCH",1,0
"MABA",21,70
"MACO",0,2
"MADO",3,0
"MAIO",9,0
"MALO",1,0
"MAPR",0,1
"MARO",0,8
"MASS",4,0
"MASY",20,13
"MATH",0,22
"MCAM",2,4
"MGAC",0,2
"MGKO",0,2
"MGSN",1,0
"MGSO",5,1
"MGSU",2,0
"MOAL",15,1
"MORU",1,0
"OSVI",1,11
"PHAM",0,6
"PHCO",2,0
"PHPU",0,3
"PHVI",1,0
"PIAB",32,37
"PIBA",1,0
"PIEN",1,0
"PIGL",35,16
"PIMA",9,1
"PIOM",0,3
"PIPU",86,64
"PIRU",11,7
"PNMU",0,1
"PNNI",30,66
"PNRE",20,4
"PNST",10,4
"PNSY",2,28
"POCA",0,2
"PODE",5,3
"PONI",3,0
"PRAV",10,0
"PRCE",4,3
"PRCR",3,0
"PRDO",9,1
"PRMA",0,1
"PRNI",0,2
"PRPA",2,1
"PRPE",2,0
"PRSE",3,1
"PRVI",35,17
"PYCA",0,6
"PYCO",6,3
"QUAL",1,3
"QUBI",2,14
"QUMA",14,54
"QUPA",0,10
"QURO",1,20
"QURU",22,64
"QUWA",0,2
"RHAR",2,0
"RHCA",26,3
"RHGL",0,1
"RHTY",4,0
"ROCA",1,0
"ROPS",24,8
"RSWO",3,0
"RUTY",4,9
"SAAL",1,1
"SACA",3,0
"SADI",2,0
"SAHU",1,0
"SMNI",1,0
"SOAM",2,1
"SOAU",5,7
"SOTH",1,0
"SOTO",1,0
"SOXA",0,1
"SYPU",2,0
"SYRE",25,62
"SYVU",111,2
"TACA",77,5
"THOC",664,131
"TIAM",11,53
"TICO",35,296
"TIER",0,3
"TIMO",0,3
"TITO",1,4
"TSCA",2,0
"ULAM",59,44
"ULCA",0,5
"ULDA",0,12
"ULFR",4,13
"ULHO",6,33
"ULLA",0,2
"ULMG",0,4
"ULMI",3,31
"ULMO",0,63
"ULNH",0,6
"ULPU",61,32
"ULRU",15,0
"VIAC",1,0
"VILA",1,0
"VILE",1,29
"VIOP",1,0
"WEFL",2,0
"ZESE",0,4
