"","P1","P1001","P1002","P1003","P1004","P1005","P1006","P1007","P2","P3"
"ACFR",1,2,0,0,0,10,2,2,0,0
"ACGI",0,0,5,0,0,0,1,0,0,0
"ACNE",0,3,11,3,0,0,1,1,0,0
"ACNI",1,0,0,0,0,0,0,0,0,0
"ACPL",0,6,1,2,0,47,97,23,0,0
"ACRU",0,0,0,0,0,1,5,0,0,0
"ACSA",8,23,17,0,0,6,81,17,0,0
"ACSC",2,3,2,0,0,18,2,0,0,0
"ACTA",0,0,8,0,0,2,0,0,0,0
"AEHI",0,0,0,0,0,0,1,0,0,0
"AM",0,0,0,0,0,0,0,0,0,2
"AMAR",0,0,0,0,0,2,0,0,0,0
"AMCA",0,0,0,0,0,0,0,1,0,0
"BBVU",0,0,0,0,0,5,0,0,0,0
"BEAL",0,0,0,0,0,0,1,0,0,0
"BENI",0,1,0,0,0,1,1,4,0,0
"CAAB",0,27,0,0,0,0,0,0,0,0
"CDJA",0,0,0,0,0,3,0,0,0,0
"CEOC",0,2,0,6,2,15,0,8,0,1
"CGMO",0,0,0,0,0,1,0,0,1,0
"CGPU",0,0,0,0,0,5,0,0,0,0
"COCO",0,0,0,0,2,7,0,0,0,0
"CRCA",0,0,0,0,0,1,0,0,0,0
"CTSP",0,1,3,0,0,1,0,0,0,0
"CYGL",0,1,0,0,0,0,0,0,0,0
"EUAL",0,1,0,0,0,0,0,0,0,0
"FRAM",0,2,1,0,0,6,0,0,0,0
"FRPE",0,0,6,1,4,24,0,0,0,2
"GIBI",0,0,0,0,1,3,0,0,0,6
"GLTR",27,3,0,3,0,18,2,5,4,0
"GYDI",6,5,0,0,0,7,2,0,0,0
"HYPA",0,0,0,0,0,0,0,2,0,0
"JUCI",0,3,0,1,0,0,0,0,0,0
"JUNI",0,4,3,0,0,8,1,0,0,0
"LADE",0,4,0,0,0,0,0,0,0,0
"LALA",0,3,0,0,0,7,0,0,0,0
"LITU",0,1,0,0,0,0,0,0,0,0
"LOXY",0,0,0,0,0,2,0,0,0,0
"MABA",0,13,0,2,7,18,2,4,0,0
"MAPR",0,0,0,0,0,0,0,0,1,0
"MARO",0,0,0,0,0,0,0,0,8,0
"MASY",0,0,3,1,0,3,0,0,0,0
"MATH",0,0,0,0,0,0,0,0,0,22
"OSVI",1,0,0,0,0,0,0,0,0,0
"PHAM",0,1,0,0,0,0,0,0,0,0
"PHPU",0,0,3,0,0,0,0,0,0,0
"PIAB",0,15,0,2,0,16,1,0,0,0
"PIGL",0,8,0,0,0,0,0,2,0,0
"PIOM",0,1,0,0,0,0,0,0,0,0
"PIPU",0,9,0,0,5,4,0,0,0,0
"PIRU",0,0,0,0,0,1,0,3,0,0
"PNNI",0,51,0,0,1,8,0,0,0,0
"PNRE",0,0,0,0,0,0,2,0,0,0
"PNST",0,2,0,0,0,0,0,0,0,0
"PNSY",0,25,0,0,0,3,0,0,0,0
"POCA",0,0,0,0,0,0,0,0,0,2
"PODE",0,2,0,0,0,0,0,0,0,0
"PRNI",0,0,0,0,0,1,0,0,0,0
"PRPA",0,0,0,0,0,1,0,0,0,0
"PRSE",0,0,1,0,0,0,0,0,0,0
"PRVI",0,1,1,0,1,5,0,0,0,0
"PYCA",0,0,0,0,0,2,0,1,0,0
"PYCO",0,0,0,0,2,1,0,0,0,0
"QUBI",0,1,0,0,0,3,0,0,0,0
"QUMA",0,4,1,0,1,6,3,0,0,0
"QUPA",0,0,0,0,3,0,0,0,0,0
"QURO",0,0,0,0,0,0,0,0,0,1
"QURU",0,0,0,0,1,4,0,0,2,0
"RHCA",0,0,2,0,0,0,0,0,0,0
"ROPS",0,1,0,0,0,0,0,0,0,0
"RUTY",0,8,0,0,1,0,0,0,0,0
"SAAL",0,0,0,1,0,0,0,0,0,0
"SOAU",0,1,0,0,0,0,0,0,0,0
"SYRE",0,0,15,0,0,1,7,2,0,0
"SYVU",0,0,0,0,0,0,0,1,0,0
"TACA",0,0,0,0,5,0,0,0,0,0
"THOC",0,61,1,35,3,13,0,0,0,0
"TIAM",11,4,18,0,0,3,1,0,0,0
"TICO",12,3,8,0,2,14,13,21,0,1
"TIER",0,0,0,0,1,0,0,0,0,0
"TIMO",0,1,0,0,0,0,0,0,0,0
"TITO",0,0,0,0,0,0,0,3,0,0
"ULAM",0,0,0,0,0,9,0,0,1,0
"ULFR",0,2,0,0,0,4,0,4,0,0
"ULHO",0,0,0,0,0,0,5,0,0,0
"ULLA",0,0,0,0,0,1,0,0,0,0
"ULMI",0,0,1,0,0,8,0,4,0,0
"ULPU",0,2,0,0,4,0,0,0,0,0
"VILE",0,7,0,0,0,22,0,0,0,0
"ZESE",3,0,0,0,0,0,0,0,0,0
